runs,likelihood,depth,output
210,0.8914285714285715,17,"(4.0, 2.0, 0.3, 0.01)"
235,0.9074074074074074,17,"(4.0, 2.0, 0.3, 0.01)"
260,0.9772727272727273,17,"(4.0, 2.0, 0.3, 0.01)"
285,0.75,17,"(4.0, 2.0, 0.3, 0.01)"
310,0.7222222222222222,17,"(4.0, 2.0, 0.3, 0.01)"
335,0.8333333333333334,17,"(4.0, 2.0, 0.3, 0.01)"
360,0.3684210526315789,14,"(4.0, 2.0, 0.3, 0.01)"
385,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
410,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
435,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
460,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
485,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
510,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
535,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
560,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
585,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
610,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
635,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
660,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
685,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
710,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
735,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
760,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
785,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
810,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
835,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
860,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
885,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
910,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
935,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
960,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
985,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1010,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1035,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1060,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1085,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1110,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1135,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1160,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1185,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1210,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1235,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1260,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1285,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1310,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1335,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1360,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1385,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1410,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1435,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1460,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1485,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1510,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1535,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1560,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1585,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1610,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1635,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1660,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1685,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1710,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1735,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1760,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1785,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1810,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1835,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1860,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1885,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1910,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1935,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1960,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1970,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
1995,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2020,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2045,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2070,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2095,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2120,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2145,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2170,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2195,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2220,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2245,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2270,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2295,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2320,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2345,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2370,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2395,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2420,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2445,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2470,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2495,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2520,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2545,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2570,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2595,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2620,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2645,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2670,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2695,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2720,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2745,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2770,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2795,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2820,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2845,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2870,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2895,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2920,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2945,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2970,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
2995,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3020,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3045,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3070,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3095,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3120,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3145,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3170,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3195,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3220,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3245,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3270,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3295,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3320,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3345,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3370,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3395,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3420,0.5,17,"(4.0, 2.0, 0.3, 0.01)"
3445,0.0,15,"(4.0, 2.0, 0.3, 0.01)"
3470,0.0,14,"(4.0, 2.0, 0.3, 0.01)"
3495,0.0,14,"(4.0, 2.0, 0.3, 0.01)"
3520,0.2,17,"(4.0, 2.0, 0.3, 0.01)"
3545,0.0,14,"(4.0, 2.0, 0.3, 0.01)"
3570,1.0,17,"(4.0, 2.0, 0.3, 0.01)"
