runs,likelihood,depth,output
3570,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3580,0.3333333333333333,17,"(4.0, 2.0, 0.3, 0.01)"
3605,0.75,17,"(4.0, 2.0, 0.3, 0.01)"
3630,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3655,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3680,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3705,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3730,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3755,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3780,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3805,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3830,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3855,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3880,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3905,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3930,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3955,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
3980,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
4005,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
4030,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
4055,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
4080,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
4105,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
4130,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
4155,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
4180,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
4205,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
4230,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
4255,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
4280,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
4305,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
4330,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
4355,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
4380,1.0,17,"(4.0, 2.0, 0.3, 0.01)"
4405,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
4430,0.9333333333333333,17,"(4.0, 2.0, 0.3, 0.01)"
4455,0.875,17,"(4.0, 2.0, 0.3, 0.01)"
4480,0.8333333333333334,17,"(4.0, 2.0, 0.3, 0.01)"
4640,1.0,17,"(8.0, 1.0, 0.4, 0.02)"
4665,1.0,17,"(8.0, 1.0, 0.4, 0.02)"
4690,1.0,17,"(8.0, 1.0, 0.4, 0.02)"
4715,0.9611650485436893,17,"(4.0, 2.0, 0.3, 0.01)"
4740,0.8985507246376812,17,"(4.0, 2.0, 0.3, 0.01)"
4765,0.9956709956709957,17,"(4.0, 2.0, 0.3, 0.01)"
4790,1.0,17,"(4.0, 2.0, 0.3, 0.01)"
4815,1.0,17,"(4.0, 2.0, 0.3, 0.01)"
4840,0.997229916897507,17,"(4.0, 2.0, 0.3, 0.01)"
4865,1.0,17,"(4.0, 2.0, 0.3, 0.01)"
4890,1.0,17,"(4.0, 2.0, 0.3, 0.01)"
4915,0.6521739130434783,17,"(4.0, 2.0, 0.3, 0.01)"
4940,0.7692307692307693,17,"(4.0, 2.0, 0.3, 0.01)"
4965,0.8928571428571429,17,"(4.0, 2.0, 0.3, 0.01)"
4990,1.0,17,"(4.0, 2.0, 0.3, 0.01)"
5015,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
5040,0.9,17,"(4.0, 2.0, 0.3, 0.01)"
5065,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
5090,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
5115,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
5140,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
5165,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
5190,1.0,17,"(4.0, 2.0, 0.3, 0.01)"
5215,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
5240,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
5265,0.0,14,"(4.0, 2.0, 0.3, 0.01)"
5290,0.0,14,"(4.0, 2.0, 0.3, 0.01)"
5315,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
5340,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
5365,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
5390,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
5415,0.0,15,"(4.0, 2.0, 0.3, 0.01)"
5440,0.0,15,"(4.0, 2.0, 0.3, 0.01)"
5465,0.0,14,"(4.0, 2.0, 0.3, 0.01)"
5490,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
5515,0.0,14,"(4.0, 2.0, 0.3, 0.01)"
5630,0.8235294117647058,17,"(4.0, 1.0, 0.4, 0.01)"
5655,0.9615384615384616,17,"(4.0, 1.0, 0.4, 0.01)"
5680,0.8863636363636364,17,"(4.0, 1.0, 0.4, 0.01)"
5705,0.9615384615384616,17,"(4.0, 1.0, 0.4, 0.01)"
5730,0.8888888888888888,17,"(4.0, 1.0, 0.4, 0.01)"
5755,0.9444444444444444,17,"(4.0, 1.0, 0.4, 0.01)"
5780,0.6,17,"(4.0, 1.0, 0.4, 0.01)"
5805,0.6363636363636364,17,"(4.0, 1.0, 0.4, 0.01)"
5830,0.6666666666666666,17,"(4.0, 1.0, 0.4, 0.01)"
5855,0.75,17,"(4.0, 1.0, 0.4, 0.01)"
5880,0.5,17,"(4.0, 1.0, 0.4, 0.01)"
5905,0.6666666666666666,17,"(4.0, 1.0, 0.4, 0.01)"
5930,0.5,17,"(4.0, 1.0, 0.4, 0.01)"
5955,1.0,17,"(4.0, 1.0, 0.4, 0.01)"
5980,0.6666666666666666,17,"(4.0, 1.0, 0.4, 0.01)"
6005,0.5,17,"(4.0, 1.0, 0.4, 0.01)"
6030,0.6666666666666666,17,"(4.0, 1.0, 0.4, 0.01)"
6055,0.0,15,"(4.0, 1.0, 0.4, 0.01)"
6080,0.4,17,"(4.0, 1.0, 0.4, 0.01)"
6105,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
6130,0.0,14,"(4.0, 2.0, 0.3, 0.01)"
6155,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
6180,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
6205,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
6230,0.0,0,"(4.0, 2.0, 0.3, 0.01)"
6255,0.16666666666666666,17,"(4.0, 2.0, 0.3, 0.01)"
6280,0.0,15,"(4.0, 2.0, 0.3, 0.01)"
6305,0.0,14,"(4.0, 2.0, 0.3, 0.01)"
6330,0.0,14,"(4.0, 2.0, 0.3, 0.01)"
